job_title,company_name,job_url,location,description,source,search_keyword,error,salary,employment_type,tags,date_posted
Xsolla: Full Stack Developer,,https://weworkremotely.com/remote-jobs/xsolla-full-stack-developer,Remote,"Headquarters:
 Montreal / Kuala Lumpur / Serbia / Baku / Remote



THE OPPORTUNITY:
Xsolla’s product for Creators provides a 
full cohesive creative suite
 to support their entire content creation journey, with monetisation/engagement tools as well as a central hub of opportunities to make money promoting publishers’ games. For publishers, we provide 
advanced data reporting and campaign management tools
, to enable businesses to take a data-driven approach in promoting their latest games through content creators.
As a Full Stack Developer, you will work across our entire technology stack, from our React applications for creators and publishers, to the backend Node.js microservices that work to ingest data and provide our REST/gRPC APIs. You will tackle problems such as optimising queries against our large, complex database of creator data, and ensuring our systems scale to meet the demands of game launches from major publishers.
Our people are driven by curiosity, continual learning, good vibes, and strong opinions. We constantly reevaluate our past decisions to determine a better path forward. We’re proud to not only build truly amazing products but to build a company and culture we can be proud of. We are grateful for the rare opportunity to solve exceptionally hard problems with people we love and respect.
RESPONSIBILITIES
Execute full SDLC for solutions targeting business and consumer customers.
Work effectively in cross-functional teams to bring features and APIs to production.
Demonstrate strong leadership presence to inspire team members.
Comfortable with distributed systems and large datasets.
Prioritize automation for streamlined processes.
Passionate about building high-quality, innovative, and performant software.
Ensure compliance with observability best practices and technical design standards.
REQUIREMENTS
5+ years experience in web application development
Professional experience with Node.js, React, MongoDB, and TypeScript
Experience with performance and optimization problems and a demonstrated ability to both diagnose and prevent these problems
A love for automated testing
Experience designing and operating distributed microservices in containerized environments
Proficient working experience with modern auth constructs such as JWT, Claims, OAuth 2.0
We get really excited about people that can meet one or more of the following:
Experience debugging specialized deep problems (e.g. browser incompatibilities, billing systems, memory leaks)
A passion for user experience design
Production storage or performance experience with time-series data
A love for object-oriented programming
Bonus Round (Not required, but if it’s relevant let us know!)
Experience with our current product management tools: Jira, Figma, G Suite, and Slack.
You love gaming and/or live streaming and are well versed in the language and needs of the community.
Measure what matters. You know how to write and measure OKRs (Objectives and Key Results)
Creator culture. Yo",WeWorkRemotely,software engineer,,,,,
"Airalo: Staff Data Analyst, Product",,https://weworkremotely.com/remote-jobs/airalo-staff-data-analyst-product,Remote,"Headquarters:
 Spain / United Kingdom



About Airalo
Alo! Airalo is the world’s first eSIM store that helps people connect in over 200+ countries and regions across the globe. We are building the next digital service that revolutionizes the telecom industry. We are a travel-tech company and an equal-opportunity environment that values and executes diversity, inclusion, and equity. Our team is spread across 50+ countries and six continents. What glues us together is our commitment to changing the way you connect
. 
Check out more information about Airalo in our Public Handbook: 
https://airalo-public.notion.site/airalo-public-handbook
About you
We hope that you care deeply about the quality of your work, the intrinsic worth of tasks, and the success of your team. You are self-disciplined and do not require micromanagement in terms of your skillset and work ethic. You do your best to flourish as an individual every day while working hard to foster a collaborative team environment. You believe in the importance of being — and staying — authentic, honest, positive, and kind. You are a good interlocutor with clear and concise communication. You are able to manage multiple projects, have an analytical mind, pay keen attention to detail, and love to get your hands dirty. You are cognizant, tolerant, and welcoming of vulnerabilities and cultural differences.
About the Role
Position
: Full-time / Employee
Location:
 Remote-first 
Benefits:
 Health Insurance, work-from-anywhere stipend, annual wellness & learning credits, annual all-expenses-paid company retreat in a gorgeous destination & other benefits
We're looking for a Staff Data Analyst, Product to own product analytics at Airalo. You'll be the go-to person for understanding how our 20M+ users across 190+ countries interact with our product-what drives activation, engagement, retention, and ultimately revenue. This is a high-impact IC role with significant scope: you'll partner directly with product teams and leadership  to shape product strategy through data.
You'll report to the Director of Data and partner closely with analytics engineering, product managers, and cross-functional stakeholders. Success looks like product decisions backed by rigorous analysis, experimentation that compounds learning, and metrics the business trusts and uses. Beyond delivering insights that influence the roadmap, you'll help shape how product analytics operates at Airalo-our model is evolving, and you'll have real input into how we scale coverage and structure the team.
What you’ll do:
Partner with Product teams to define success metrics, design experiments, and evaluate feature impact
Partner with fractional squad analysts where they exist; serve as the primary analytics partner for squads without dedicated coverage and help evolve our organisational model for product analytics
Be hands-on with analysis, dashboards, and metric development while building the foundations for a scalable product analytics practice
Defi",WeWorkRemotely,software engineer,,,,,
"Affirm: Staff Product Manager, Capital",,https://weworkremotely.com/remote-jobs/affirm-staff-product-manager-capital,Remote,"Headquarters:
 Remote US



Affirm is reinventing credit to make it more honest and friendly, giving consumers the flexibility to buy now and pay later without any hidden fees or compounding interest.
Capital is the lifeblood of Affirm. Every loan we underwrite depends on reliable funding and trusted reporting to our investors. As Affirm scales across products, geographies, and funding structures, the accuracy, transparency, and resilience of our Capital systems become increasingly critical.
That’s where Capital Product comes in.
The Capital Product team builds the platform, tooling, and workflows that power Affirm’s $26+ billion Capital Program—enabling Capital Markets, Treasury, and Risk to operate with speed and confidence while safeguarding investor trust through accurate, auditable, and scalable systems.
We’re looking for a Staff Product Manager to lead our Capital Risk and Deal Reporting product area. This role owns some of the most investor-visible and profit-impacting systems at Affirm. You will reduce operational risk, enable more sophisticated and accurate forecasting, and ensure investor-grade reporting by building durable systems that scale with Affirm’s growth—ultimately helping Affirm deploy capital more efficiently and passing those gains through to our customers. 
This is a highly analytical, high-impact role for a product builder who is comfortable being deeply embedded in data and financial logic—and who brings a strong bias toward precision, correctness, and delivery.
What you'll do
Own the Capital Risk & Reporting Vision: Define the long-term direction for Capital Risk and Deal Reporting systems, ensuring they scale with increasing volume, complexity, and scrutiny while supporting both operational reliability and forward-looking decision-making.
Turn Scale Into Better Capital Decisions: Enable analytical and forecasting capabilities that help Capital teams evaluate tradeoffs, plan ahead, and make higher-quality funding and P&L decisions as the platform grows
Build the Foundational System for Investor-Grade Accuracy: Lead the development of systems that deliver consistent, timely, and trusted reporting to our Capital investors, with a strong emphasis on reconciliation, traceability, and accuracy. 
Eliminate Fragility in Critical Workflows: Identify and remove sources of operational fragility by replacing manual processes, one-off logic, and ad-hoc checks with durable, automated, and well-instrumented product capabilities in our most critical workflows. 
Lead Cross-Functional Execution: Act as the product anchor across Engineering, Capital Markets, Treasury, Risk, Legal and Accounting—aligning stakeholders, translating complex requirements into clear plans, and driving execution through ambiguity.
Go Deep Where It Matters: Dive into financial logic, data models, pipeline dependencies, and edge cases to ensure systems behave correctly
Be Accountable for Outcomes: Own success metrics tied to operational stability, reporting confid",WeWorkRemotely,software engineer,,,,,
"Dropbox: Staff Fullstack Product Software Engineer, Dash",,https://weworkremotely.com/remote-jobs/dropbox-staff-fullstack-product-software-engineer-dash,Remote,"Headquarters:
 Remote - Canada: Select locations



Role Description
At Dropbox, we believe the future is built on great ideas. And great ideas don’t just come from the top; they come from everywhere.  Our mission is to design an enlightened way of working. 
Our Engineering team is working to simplify the way people work together. They’re building a family of products that handle over a billion files a day for people around the world. With our broad mission and massive scale, there are countless opportunities to make an impact. This is just the beginning of how Dropbox will use AI/ML to enhance knowledge work in today’s work environment. We’re excited to bring a new generation of personalized AI-powered experiences in Dropbox to improve our customers' working lives and a more focused, efficient, and productive workday.
Y
ou will play a crucial role in designing, developing, and maintaining AI-powered software applications. You will work closely with cross-engineering teams, product managers, data scientists, and ML engineers, to build robust and scalable solutions to drive user engagement and business growth. You will have the opportunity to grow a product 
at the beginning of it’s S-curve
 and to define the next generation of AI products at Dropbox.
Our Engineering Career Framework is 
viewable by anyone outside the company
 and describes what’s expected for our engineers at each of our career levels. Check out our blog post on this topic and more 
here
.
Responsibilities
Collaborate with product managers and other engineering teams to understand business requirements and translate them into technical specifications for AI-powered software applications.
Define and d
eliver t
he multi-team growth strategy
 
with measurable outcomes 
through ownership of product capabilities 
and
 technical systems
Lead the design and delivery of software solutions across specific product areas or multi-component systems
Establish engineering best practices, improve system reliability, and drive down technical debt
Collaborate with cross-functional teams to balance technical requirements with business goals
Lead by example through high quality code, thoughtful reviews, and hands on mentorship
, fostering a collaborative and growth-oriented culture.
Mentor senior engineers; model high-signal design reviews and effective cross-team influence.
Conduct experiments and A/B tests to validate hypotheses and 
guide
 product decisions.  
Participate in and uplevel on-call rotations to maintain service reliability
Many teams at Dropbox run Services with on-call rotations, which entails being available for calls during both core and non-core business hours. If a team has an on-call rotation, all engineers on the team are expected to participate in the rotation as part of their employment. Applicants are encouraged to ask for more details of the rotations to which the applicant is applying.
Requirements
12
+ years of relevant experience 
BS/BA degree or higher in Computer Sci",WeWorkRemotely,software engineer,,,,,
"Clover Health: Staff Product Manager, Member Experience",,https://weworkremotely.com/remote-jobs/clover-health-staff-product-manager-member-experience,Remote,"Headquarters:
 Remote - USA



At Clover Health, we’re transforming healthcare by building member-first technology that helps people stay healthier and live better lives. Our member experience, whether through phone, text, email, or the web, is how members interact with our clinical programs and services every day. We’re hiring a Staff Product Manager to own the product strategy and execution for member engagement and building member trust.
This is a senior individual-contributor Staff Product Manager role. You’ll operate autonomously to set direction for a cross-functional team, and influence the broader organization by example. You will be expected to ideate key metrics, form hypotheses and strategies, and execute to drive measurable member and business outcomes. As a Staff PM, you will model outcome-driven product leadership and help raise the bar for product, design, engineering, analytics, and operations partners.
In this role, you will lead a team focused on member experience and trust initiatives and collaborate with engineers, analysts, security/compliance, operations teams, and our CEO and Executive Chairman. You will improve member outcomes and business KPIs by (a) removing friction from enrollment through ongoing engagement, (b) building or integrating AI/ML-backed experiences that increase personalization and trust, (c) delivering messaging and concierge systems that surface the right information to members and care teams, and (d) modernizing identity, auth, and vendor integrations to reduce operational risk and improve quality of service and care.
As a Staff Product Manager, you will:
Assume ultimate accountability for your team’s outcomes. Articulate a clear and compelling vision and strategy for member experience and trust, align leadership and stakeholders to that plan, define and implement rigorous metrics to assess progress, and clearly articulate impact.
Proactively identify and champion strategic initiatives that optimize member trust, activation, and retention while driving business value and operational efficiency. Make resource and investment decisions to maximize strategic impact.
Serve as the team’s subject matter expert on member engagement: deeply understand member needs, member-provider touchpoints, vendor landscapes, and regulatory constraints that affect product decisions.
Run a highly effective, outcome-driven team. Autonomously align teams around outcomes, remove or escalate blockers, launch, measure, and iterate until you drive impact. Communicate plans and progress clearly and know when to double-down vs. pivot.
With engineering counterparts, facilitate technical and architecture conversations related to web/mobile stacks, messaging/SMS gateways, identity & authentication, and API-driven integrations with internal and external systems.
Own instrumentation, experimentation, and measurement. Partner with analytics to design A/B tests, own funnel metrics, and use data to guide product tradeoffs.
Drive vendor selecti",WeWorkRemotely,software engineer,,,,,
"Stripe: Product Manager, Commerce Systems",,https://weworkremotely.com/remote-jobs/stripe-product-manager-commerce-systems,Remote,"Headquarters:
 SF, SEA, NYC, US - Remote



Who we are
About Stripe
Stripe is a financial infrastructure platform for businesses. Millions of companies—from the world’s largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone’s reach while doing the most important work of your career. 
About the team
The 
Commerce Systems
 team is at the literal nexus of Stripe’s expansion to a full-fledged Financial Services infrastructure platform. We own the internal revenue engine that enables every product team at Stripe to monetize their offerings, manage fees, and create complex commercial constructs. You will join a high-leverage 110-person organization, partnering with 
10–20 engineers
 to harmonize disparate systems—from billing to financial data warehouses—into a single, elegant interaction surface.
What you’ll do
As the PM for Commerce Systems, you will be the architect of the 'engine room' of Stripe’s revenue. You will be responsible for building the unified control planes that harmonize Stripe’s internal billing, seller systems, and financial data warehouses into a single, high-leverage interaction surface. In this role, your mission is to eliminate integration friction for internal product teams, allowing them to ship faster, while ensuring our merchants receive the world-class fee transparency and reconciliation tools they need to run their businesses.
Responsibilities
Harmonize Infrastructure:
 Build the ""control planes"" that unify seller systems, user billing, and financial data warehouses to reduce integration friction for product teams.
Architect for Velocity:
 Drastically reduce the time-to-market for new Stripe products by streamlining monetization workflows and core underlying capabilities.
Drive Strategy:
 Articulate the product vision for our revenue platform, developing annual and quarterly plans that align with Stripe’s rapid expansion into AI and new financial services.
Navigate Complexity:
 Act as a leader and change agent, thriving in ""chaos"" to turn operational noise into a clear engineering roadmap.
Cross-Functional Leadership:
 Partner with engineering leaders to design ingestion, enrichment, and serving interfaces while acting as a thought partner for GTM, Finance, and Legal.
Who you are
We’re looking for someone who meets the minimum requirements to be considered for the role.
Minimum requirements
7+ years of experience
 as a Product Manager in technology companies.
Backend Foundation:
 Deep experience with large-scale backend systems and an API-first mindset.
Platform Expertise:
 Proven track record building platform infrastructure that serves the needs of multiple disparate stakeholders.
Communication:
 Ability to synthesize complex technical discussions",WeWorkRemotely,software engineer,,,,,
"Temporal Technologies: Senior Staff Product Marketing Manager, AI",,https://weworkremotely.com/remote-jobs/temporal-technologies-senior-staff-product-marketing-manager-ai,Remote,"Headquarters:
 United States - Remote Opportunity



About Us
Temporal is an open source programming model that can simplify code, make applications more reliable, and help developers focus on the important things like delivering features faster. We are on a mission to be the reliable foundation of every developer’s toolbox, and are building the team that will make that happen.
 
Our values guide us —they are present in how we show up, make decisions, and work together to make an impact. We’re curious, driven, collaborative, genuine and humble.
 
Temporal is growing and we are looking for those who share our values, challenge 'standard' thinking, and want to influence our future. If you have a passion for improving the developer experience, building world-class open-source software and communities, and want to be a part of our amazing team, we'd love to hear from you!
Summary
Temporal is becoming the foundational infrastructure for AI-powered products. As AI-native companies and research labs move from experimentation to production, they face new reliability, orchestration, and scale challenges that Temporal is uniquely positioned to solve.
We are hiring a Sr Staff Product Marketing Manager to lead product marketing for Temporal’s AI initiatives. This role will define how Temporal is positioned for AI-native companies, AI labs, and AI-driven use cases within traditional SaaS and enterprise organizations. You will own the narrative for why Temporal matters in the era of AI and translate complex, technical capabilities into clear, compelling value for developers, platform teams, and business stakeholders.
This is a “full stack” product marketing role with broad ownership and high impact. You will work closely with product, engineering, sales, and marketing leadership to shape strategy and drive adoption across fast-growing AI segments and use cases.
This role reports to the Director of Product Marketing. 
What You’ll Do
Define and own positioning and messaging for Temporal’s AI use cases across AI-native startups, AI labs, and enterprise customers adopting AI
Develop clear value propositions for how Temporal supports AI workflows, agents, LLM orchestration, human-in-the-loop systems, and long-running AI processes
Lead competitive intelligence related to AI infrastructure, orchestration, workflow engines, and adjacent platforms
Partner with product and engineering to influence roadmap decisions based on market and customer insights
Plan and execute product launches, announcements, and GTM strategies related to AI capabilities and use cases
Create high-quality external content including web pages, blogs, solution briefs, case studies, decks, and sales enablement materials
Enable sales and solutions teams with messaging, pitch narratives, and objection handling for AI-driven deals
Work with demand gen, developer relations, and comms to ensure consistent AI positioning across channels
Serve as a subject-matter expert internally on AI market trends, cus",WeWorkRemotely,software engineer,,,,,
Gitlab: Staff Product Security Architect,,https://weworkremotely.com/remote-jobs/gitlab-staff-product-security-architect,Remote,"Headquarters:
 Remote, EMEA



GitLab is an open-core software company that develops the most comprehensive 
AI-powered DevSecOps Platform
, used by more than 100,000 organizations. Our 
mission
 is to enable everyone to contribute to and co-create the software that powers our world. When everyone can contribute, consumers become contributors, significantly accelerating human progress. Our platform unites teams and organizations, breaking down barriers and redefining what's possible in software development. Thanks to products like 
Duo Enterprise
 and 
Duo Agent Platform
, customers get AI benefits at every stage of the SDLC. 
The same principles built into our products are reflected in how our team works: we embrace AI as a core productivity multiplier, with all team members expected to incorporate AI into their daily workflows to drive efficiency, innovation, and impact. GitLab is where careers accelerate, innovation flourishes, and every voice is valued. Our high-performance culture is driven by our 
values
 and continuous knowledge exchange, enabling our team members to reach their full potential while collaborating with industry leaders to solve complex problems. 
Co-create the future with us
 as we build technology that transforms how the world develops software.
An overview of this role
We are seeking a Staff Product Security Architect to join our 
Security Platforms & Architecture Team
 and serve as our strategic security partner for GitLab’s Core DevOps organization. In this role, you’ll work directly with technical leadership across our 
Plan
, 
Create
, 
Verify
, and 
Package
 stages to anticipate security challenges, drive risk reduction, and enable secure-by-default development of our CI/CD platform. 
You'll be the primary security architect for Core DevOps, developing deep expertise in pipeline security, source code management, and DevOps toolchain risks. You'll maintain tight alignment with Core DevOps tech leads to understand their roadmap, identify emerging security needs early, and coordinate comprehensive security coverage across our Application Security team. This is a high-visibility role with significant influence across one of GitLab's most critical product areas.
What you’ll do
  
Serve as the dedicated security architect and strategic partner for Core DevOps functional leadership, developing deep understanding of their priorities, challenges, and roadmap
Lead security architecture and design work for strategic Core DevOps initiatives, providing clear direction and proactive guidance to cross-functional teams
Identify, assess, and drive reduction of systemic security risks in the 
Product Security Risk Register
 related to CI/CD pipelines, source code management, and DevOps workflows
Anticipate security challenges in upcoming Core DevOps initiatives and propose architectural solutions before they reach critical implementation phases
Coordinate with Application Security engineers to ensure comprehensive security review cove",WeWorkRemotely,software engineer,,,,,
Alphasense: Staff Product Designer - Engagement,,https://weworkremotely.com/remote-jobs/alphasense-staff-product-designer-engagement,Remote,"Headquarters:
 Remote - United States



About AlphaSense: 
The world’s most sophisticated companies rely on AlphaSense to remove uncertainty from decision-making. With market intelligence and search built on proven AI, AlphaSense delivers insights that matter from content you can trust. Our universe of public and private content includes equity research, company filings, event transcripts, expert calls, news, trade journals, and clients’ own research content. 
The acquisition of Tegus by AlphaSense in 2024 advances our shared mission to empower professionals to make smarter decisions through AI-driven market intelligence. Together, AlphaSense and Tegus will accelerate growth, innovation, and content expansion, with complementary product and content capabilities that enable users to unearth even more comprehensive insights from thousands of content sets. Our platform is trusted by over 6,000 enterprise customers, including a majority of the S&P 500. Founded in 2011, AlphaSense is headquartered in New York City with more than 2,000 employees across the globe and offices in the U.S., U.K., Finland, India, Singapore, Canada, and Ireland. Come join us!
About the Team:
AlphaSense's Product Design Team stands at the forefront of innovation, developing AI-powered solutions that enable professionals to make smarter, faster, and more informed decisions.
We are a diverse group of strategic problem-solvers and expert executors. Designers here own the end-to-end user experience, from leading discovery to ensuring precision of micro-interactions. Driven by customer empathy and a bias for action, our shared passion is to transform bold ideas into industry-leading products, creating world-class experiences that are useful, usable, and truly delightful.
If you are a designer ready to own the experience and make a profound impact, shaping the future of business intelligence, we would love to meet you.
 
About the Role:
We are seeking a Staff Product Designer to join our growing team. In this role, you will lead feature strategic design work within our Engagement Mission, leveraging your exceptional creative skills and design expertise to spearhead our design initiatives and produce outstanding user experiences. You will be collaborating closely with cross-functional partner teams, you will be responsible for ensuring our product designs align with both business objectives and user requirements, while shaping the overall aesthetics, functionality, and usability of our products. Through agentic workflow tools and purpose built generative AI, our Engagement team strives to deliver the most critical personalized insights, turning visitors into habitual users. 
In addition, you will work closely with global, cross-functional teams, including product management, and engineering, to bring new features to market and help define our future product landscape that ensures our standing as the leader in market intelligence through AI-driven search. You are critical in shaping",WeWorkRemotely,software engineer,,,,,
Pulse Games: Product Specialist,,https://weworkremotely.com/remote-jobs/pulse-games-product-specialist,Remote,"Headquarters:
 Turkey



About Pulse Games
We create mobile games that are fun, visually engaging, and bring players together worldwide. Our skill-based games recognize true talent by rewarding quick thinking and smart strategy. Everything we create starts with our team, collaborating, learning, and challenging each other to do better every day. 
As a fully remote team
, we work across different locations, turning our shared passion into unforgettable gaming experiences.
We are looking for a 
Product Specialist 
to join our growing team. Product Specialists play a key role in shaping our games including creating fun experiences, engaging millions of players worldwide, and building a strong global community. As a Product Specialist, you’ll be responsible for every stage of game development, working closely with our art, design, and engineering teams.
If you are passionate about creating fresh and exciting gaming experiences, and you enjoy using both your analytical and creative skills, we’d love to meet you!
What You’ll Do
 
Design and implement engaging features that bring our games to life
 
Improve player experience by analyzing data, metrics, and feedback
 
Conduct A/B tests to gain insights into user behavior and optimize gameplay
 
Collaborate closely with art and engineering teams to deliver high-quality products
 
What We're Looking For
 
Passion for mobile game development and the gaming industry
 
There is no need to have prior experience
 
Strong analytical and problem-solving skills
 
Creativity and adaptability in a fast-paced, dynamic startup environment
 
Excellent communication and teamwork skills
 


To apply:
 
https://weworkremotely.com/remote-jobs/pulse-games-product-specialist",WeWorkRemotely,software engineer,,,,,
